last_update,station,city,state,country,latitude,longitude,pollutant_id,min_value,max_value,avg_value
05-09-2026,"Anand Kala Kshetram, Rajamahendravaram - APPCB",Rajamahendravaram,Andhra Pradesh,India,16.9872867,81.7363176,PM10,43.0,81.0,61.0
05-09-2026,"Anand Kala Kshetram, Rajamahendravaram - APPCB",Rajamahendravaram,Andhra Pradesh,India,16.9872867,81.7363176,PM2.5,24.0,50.0,37.0
05-09-2026,"Anand Kala Kshetram, Rajamahendravaram - APPCB",Rajamahendravaram,Andhra Pradesh,India,16.9872867,81.7363176,SO2,2.0,8.0,4.0
05-09-2026,"Anand Nagar, Raebareli - UPPCB",Raebareli,Uttar Pradesh,India,26.219512,81.237648,CO,82.0,84.0,82.0
05-09-2026,"Anand Nagar, Raebareli - UPPCB",Raebareli,Uttar Pradesh,India,26.219512,81.237648,NH3,,,
05-09-2026,"Anand Nagar, Raebareli - UPPCB",Raebareli,Uttar Pradesh,India,26.219512,81.237648,NO2,4.0,20.0,8.0
05-09-2026,"Anand Nagar, Raebareli - UPPCB",Raebareli,Uttar Pradesh,India,26.219512,81.237648,OZONE,54.0,71.0,68.0
05-09-2026,"Anand Nagar, Raebareli - UPPCB",Raebareli,Uttar Pradesh,India,26.219512,81.237648,PM10,48.0,92.0,74.0
05-09-2026,"Anand Nagar, Raebareli - UPPCB",Raebareli,Uttar Pradesh,India,26.219512,81.237648,PM2.5,25.0,42.0,35.0
05-09-2026,"Anand Nagar, Raebareli - UPPCB",Raebareli,Uttar Pradesh,India,26.219512,81.237648,SO2,13.0,13.0,13.0
05-09-2026,"Anand Vihar, Delhi - DPCC",Delhi,Delhi,India,28.647622,77.315809,CO,1.0,18.0,7.0
05-09-2026,"Anand Vihar, Delhi - DPCC",Delhi,Delhi,India,28.647622,77.315809,NH3,2.0,6.0,4.0
05-09-2026,"Anand Vihar, Delhi - DPCC",Delhi,Delhi,India,28.647622,77.315809,NO2,8.0,38.0,18.0
05-09-2026,"Anand Vihar, Delhi - DPCC",Delhi,Delhi,India,28.647622,77.315809,OZONE,11.0,23.0,13.0
05-09-2026,"Anand Vihar, Delhi - DPCC",Delhi,Delhi,India,28.647622,77.315809,PM10,3.0,135.0,66.0
05-09-2026,"Anand Vihar, Delhi - DPCC",Delhi,Delhi,India,28.647622,77.315809,PM2.5,2.0,2.0,2.0
05-09-2026,"Anand Vihar, Delhi - DPCC",Delhi,Delhi,India,28.647622,77.315809,SO2,19.0,42.0,29.0
05-09-2026,"Anand Vihar, Hapur - UPPCB",Hapur,Uttar Pradesh,India,28.725645,77.749675,CO,29.0,35.0,32.0
05-09-2026,"Anand Vihar, Hapur - UPPCB",Hapur,Uttar Pradesh,India,28.725645,77.749675,NH3,0.0,1.0,1.0
05-09-2026,"Anand Vihar, Hapur - UPPCB",Hapur,Uttar Pradesh,India,28.725645,77.749675,NO2,0.0,10.0,4.0
05-09-2026,"Anand Vihar, Hapur - UPPCB",Hapur,Uttar Pradesh,India,28.725645,77.749675,OZONE,10.0,20.0,14.0
05-09-2026,"Anand Vihar, Hapur - UPPCB",Hapur,Uttar Pradesh,India,28.725645,77.749675,PM10,13.0,46.0,29.0
05-09-2026,"Anand Vihar, Hapur - UPPCB",Hapur,Uttar Pradesh,India,28.725645,77.749675,PM2.5,6.0,42.0,21.0
05-09-2026,"Anand Vihar, Hapur - UPPCB",Hapur,Uttar Pradesh,India,28.725645,77.749675,SO2,3.0,15.0,10.0
05-09-2026,"Anthoni Pillai Nagar, Gummidipoondi - TNPCB",Gummidipoondi,Tamil Nadu,India,13.4127,80.1081,CO,,,
05-09-2026,"Anthoni Pillai Nagar, Gummidipoondi - TNPCB",Gummidipoondi,Tamil Nadu,India,13.4127,80.1081,NH3,0.0,1.0,1.0
05-09-2026,"Anthoni Pillai Nagar, Gummidipoondi - TNPCB",Gummidipoondi,Tamil Nadu,India,13.4127,80.1081,NO2,12.0,26.0,19.0
05-09-2026,"Anthoni Pillai Nagar, Gummidipoondi - TNPCB",Gummidipoondi,Tamil Nadu,India,13.4127,80.1081,OZONE,,,
05-09-2026,"Anthoni Pillai Nagar, Gummidipoondi - TNPCB",Gummidipoondi,Tamil Nadu,India,13.4127,80.1081,PM10,53.0,142.0,93.0
05-09-2026,"Anthoni Pillai Nagar, Gummidipoondi - TNPCB",Gummidipoondi,Tamil Nadu,India,13.4127,80.1081,PM2.5,37.0,309.0,101.0
05-09-2026,"Anthoni Pillai Nagar, Gummidipoondi - TNPCB",Gummidipoondi,Tamil Nadu,India,13.4127,80.1081,SO2,2.0,71.0,22.0
05-09-2026,"Ardhali Bazar, Varanasi - UPPCB",Varanasi,Uttar Pradesh,India,25.3505986,82.9083074,CO,14.0,20.0,15.0
05-09-2026,"Ardhali Bazar, Varanasi - UPPCB",Varanasi,Uttar Pradesh,India,25.3505986,82.9083074,NH3,,,
05-09-2026,"Ardhali Bazar, Varanasi - UPPCB",Varanasi,Uttar Pradesh,India,25.3505986,82.9083074,NO2,20.0,24.0,22.0
05-09-2026,"Ardhali Bazar, Varanasi - UPPCB",Varanasi,Uttar Pradesh,India,25.3505986,82.9083074,OZONE,7.0,23.0,13.0
05-09-2026,"Ardhali Bazar, Varanasi - UPPCB",Varanasi,Uttar Pradesh,India,25.3505986,82.9083074,PM10,28.0,93.0,56.0
05-09-2026,"Ardhali Bazar, Varanasi - UPPCB",Varanasi,Uttar Pradesh,India,25.3505986,82.9083074,PM2.5,20.0,69.0,41.0
05-09-2026,"Ardhali Bazar, Varanasi - UPPCB",Varanasi,Uttar Pradesh,India,25.3505986,82.9083074,SO2,4.0,7.0,6.0
05-09-2026,"Arumbakkam, Chennai - TNPCB",Chennai,Tamil Nadu,India,13.0664,80.2112,CO,,,
05-09-2026,"Arumbakkam, Chennai - TNPCB",Chennai,Tamil Nadu,India,13.0664,80.2112,NH3,2.0,3.0,2.0
05-09-2026,"Arumbakkam, Chennai - TNPCB",Chennai,Tamil Nadu,India,13.0664,80.2112,NO2,12.0,22.0,17.0
05-09-2026,"Arumbakkam, Chennai - TNPCB",Chennai,Tamil Nadu,India,13.0664,80.2112,OZONE,,,
05-09-2026,"Arumbakkam, Chennai - TNPCB",Chennai,Tamil Nadu,India,13.0664,80.2112,PM10,54.0,109.0,76.0
05-09-2026,"Arumbakkam, Chennai - TNPCB",Chennai,Tamil Nadu,India,13.0664,80.2112,PM2.5,20.0,72.0,42.0
05-09-2026,"Arumbakkam, Chennai - TNPCB",Chennai,Tamil Nadu,India,13.0664,80.2112,SO2,0.0,2.0,1.0
05-09-2026,"Arya Nagar, Bahadurgarh - HSPCB",Bahadurgarh,Haryana,India,28.6701,76.9254,CO,24.0,28.0,26.0
05-09-2026,"Arya Nagar, Bahadurgarh - HSPCB",Bahadurgarh,Haryana,India,28.6701,76.9254,NH3,7.0,8.0,8.0
05-09-2026,"Arya Nagar, Bahadurgarh - HSPCB",Bahadurgarh,Haryana,India,28.6701,76.9254,NO2,23.0,29.0,26.0
05-09-2026,"Arya Nagar, Bahadurgarh - HSPCB",Bahadurgarh,Haryana,India,28.6701,76.9254,OZONE,20.0,45.0,35.0
05-09-2026,"Arya Nagar, Bahadurgarh - HSPCB",Bahadurgarh,Haryana,India,28.6701,76.9254,PM10,27.0,47.0,35.0
05-09-2026,"Arya Nagar, Bahadurgarh - HSPCB",Bahadurgarh,Haryana,India,28.6701,76.9254,PM2.5,28.0,46.0,36.0
05-09-2026,"Arya Nagar, Bahadurgarh - HSPCB",Bahadurgarh,Haryana,India,28.6701,76.9254,SO2,5.0,7.0,6.0
05-09-2026,"Asansol Court Area, Asansol - WBPCB",Asansol,West Bengal,India,23.685297,86.945968,CO,20.0,53.0,33.0
05-09-2026,"Asansol Court Area, Asansol - WBPCB",Asansol,West Bengal,India,23.685297,86.945968,NH3,2.0,6.0,4.0
05-09-2026,"Asansol Court Area, Asansol - WBPCB",Asansol,West Bengal,India,23.685297,86.945968,NO2,28.0,38.0,33.0
05-09-2026,"Asansol Court Area, Asansol - WBPCB",Asansol,West Bengal,India,23.685297,86.945968,OZONE,21.0,34.0,28.0
05-09-2026,"Asansol Court Area, Asansol - WBPCB",Asansol,West Bengal,India,23.685297,86.945968,PM10,40.0,57.0,48.0
05-09-2026,"Asansol Court Area, Asansol - WBPCB",Asansol,West Bengal,India,23.685297,86.945968,PM2.5,33.0,51.0,42.0
05-09-2026,"Asansol Court Area, Asansol - WBPCB",Asansol,West Bengal,India,23.685297,86.945968,SO2,11.0,16.0,13.0
05-09-2026,"Ashok Nagar, Udaipur - RSPCB",Udaipur,Rajasthan,India,24.5886166,73.6321397,CO,12.0,48.0,28.0
05-09-2026,"Ashok Nagar, Udaipur - RSPCB",Udaipur,Rajasthan,India,24.5886166,73.6321397,NH3,3.0,7.0,4.0
05-09-2026,"Ashok Nagar, Udaipur - RSPCB",Udaipur,Rajasthan,India,24.5886166,73.6321397,NO2,6.0,38.0,21.0
05-09-2026,"Ashok Nagar, Udaipur - RSPCB",Udaipur,Rajasthan,India,24.5886166,73.6321397,OZONE,4.0,12.0,8.0
05-09-2026,"Ashok Nagar, Udaipur - RSPCB",Udaipur,Rajasthan,India,24.5886166,73.6321397,PM10,69.0,106.0,87.0
05-09-2026,"Ashok Nagar, Udaipur - RSPCB",Udaipur,Rajasthan,India,24.5886166,73.6321397,PM2.5,16.0,125.0,55.0
05-09-2026,"Ashok Nagar, Udaipur - RSPCB",Udaipur,Rajasthan,India,24.5886166,73.6321397,SO2,2.0,21.0,8.0
