country,state,city,station,last_update,latitude,longitude,pollutant_id,min_value,max_value,avg_value,collection_time
India,Bihar,Gaya,"Kareemganj, Gaya - BSPCB",05-09-2026 21:00:00,24.792403,84.992416,PM10,2.0,324.0,106.0,2026-09-05 16:37:06
India,Bihar,Gaya,"Kareemganj, Gaya - BSPCB",05-09-2026 21:00:00,24.792403,84.992416,NO2,,,,2026-09-05 16:37:06
India,Bihar,Hajipur,"Industrial Area, Hajipur - BSPCB",05-09-2026 21:00:00,25.697189,85.2459,NO2,13.0,34.0,23.0,2026-09-05 16:37:06
India,Bihar,Katihar,"Mirchaibari, Katihar - BSPCB",05-09-2026 21:00:00,25.560083,87.553265,NO2,2.0,2.0,2.0,2026-09-05 16:37:06
India,Bihar,Katihar,"Mirchaibari, Katihar - BSPCB",05-09-2026 21:00:00,25.560083,87.553265,SO2,14.0,21.0,18.0,2026-09-05 16:37:06
India,Bihar,Manguraha,"Forest Rest House, Manguraha - BSPCB",05-09-2026 21:00:00,27.308328,84.531742,CO,17.0,96.0,61.0,2026-09-05 16:37:06
India,Bihar,Motihari,"Gandak Colony, Motihari - BSPCB",05-09-2026 21:00:00,26.63086,84.90051,PM2.5,13.0,100.0,25.0,2026-09-05 16:37:06
India,Bihar,Motihari,"Gandak Colony, Motihari - BSPCB",05-09-2026 21:00:00,26.63086,84.90051,CO,11.0,14.0,13.0,2026-09-05 16:37:06
India,Bihar,Munger,"Town Hall, Munger - BSPCB",05-09-2026 21:00:00,25.376776,86.471523,PM10,10.0,183.0,83.0,2026-09-05 16:37:06
India,Bihar,Munger,"Town Hall, Munger - BSPCB",05-09-2026 21:00:00,25.376776,86.471523,NO2,11.0,12.0,12.0,2026-09-05 16:37:06
India,Andhra Pradesh,Kadapa,"Yerramukkapalli, Kadapa - APPCB",05-09-2026 21:00:00,14.465052,78.824187,PM2.5,69.0,71.0,70.0,2026-09-05 16:37:06
India,Andhra Pradesh,Kadapa,"Yerramukkapalli, Kadapa - APPCB",05-09-2026 21:00:00,14.465052,78.824187,PM10,61.0,65.0,63.0,2026-09-05 16:37:06
India,Andhra Pradesh,Kakinada,"Rama Rao Peta, Kakinada - APPCB",05-09-2026 21:00:00,16.962488,82.229513,NO2,26.0,54.0,38.0,2026-09-05 16:37:06
India,Andhra Pradesh,Machilipatnam,"Srinivas Nagar Colony, Machilipatnam - APPCB",05-09-2026 21:00:00,16.186555,81.13219,CO,10.0,21.0,15.0,2026-09-05 16:37:06
India,Andhra Pradesh,Srikakulam,"Chinna Bharatham Colony, Srikakulam - APPCB",05-09-2026 21:00:00,18.292191,83.897173,PM10,49.0,95.0,65.0,2026-09-05 16:37:06
India,Andhra Pradesh,Srikakulam,"Chinna Bharatham Colony, Srikakulam - APPCB",05-09-2026 21:00:00,18.292191,83.897173,NO2,17.0,43.0,27.0,2026-09-05 16:37:06
India,Andhra Pradesh,Tirupati,"Vaikuntapuram, Tirupati - APPCB",05-09-2026 21:00:00,13.615387,79.40923,SO2,19.0,20.0,19.0,2026-09-05 16:37:06
India,Andhra Pradesh,Tirupati,"Vaikuntapuram, Tirupati - APPCB",05-09-2026 21:00:00,13.615387,79.40923,CO,18.0,21.0,20.0,2026-09-05 16:37:06
India,Andhra Pradesh,Vijayawada,"Rajiv Nagar, Vijayawada - APPCB",05-09-2026 21:00:00,16.554731,80.64911,PM2.5,46.0,74.0,55.0,2026-09-05 16:37:06
India,Andhra Pradesh,Vijayawada,"Rajiv Nagar, Vijayawada - APPCB",05-09-2026 21:00:00,16.554731,80.64911,PM10,52.0,76.0,61.0,2026-09-05 16:37:06
India,Andhra Pradesh,Vijayawada,"Rajiv Nagar, Vijayawada - APPCB",05-09-2026 21:00:00,16.554731,80.64911,NH3,4.0,6.0,5.0,2026-09-05 16:37:06
India,Delhi,Delhi,"Okhla Phase-2, Delhi - DPCC",05-09-2026 21:00:00,28.530785,77.271255,OZONE,7.0,13.0,10.0,2026-09-05 16:37:06
India,Delhi,Delhi,"Rohini, Delhi - DPCC",05-09-2026 21:00:00,28.732528,77.11992,SO2,9.0,11.0,10.0,2026-09-05 16:37:06
India,Delhi,Delhi,"Rohini, Delhi - DPCC",05-09-2026 21:00:00,28.732528,77.11992,CO,42.0,50.0,47.0,2026-09-05 16:37:06
India,Delhi,Delhi,"Rohini, Delhi - DPCC",05-09-2026 21:00:00,28.732528,77.11992,OZONE,12.0,13.0,13.0,2026-09-05 16:37:06
India,Delhi,Delhi,"Vivek Vihar, Delhi - DPCC",05-09-2026 21:00:00,28.672342,77.31526,PM2.5,3.0,69.0,24.0,2026-09-05 16:37:06
India,Delhi,Delhi,"Jahangirpuri, Delhi - DPCC",05-09-2026 21:00:00,28.73282,77.170633,PM2.5,,,,2026-09-05 16:37:06
India,Delhi,Delhi,"Jahangirpuri, Delhi - DPCC",05-09-2026 21:00:00,28.73282,77.170633,CO,41.0,56.0,48.0,2026-09-05 16:37:06
India,Delhi,Delhi,"Jahangirpuri, Delhi - DPCC",05-09-2026 21:00:00,28.73282,77.170633,OZONE,17.0,18.0,18.0,2026-09-05 16:37:06
India,Delhi,Delhi,"IHBAS, Dilshad Garden, Delhi - CPCB",05-09-2026 21:00:00,28.6811736,77.3025234,PM10,13.0,131.0,34.0,2026-09-05 16:37:06
